date,hash,subject,insertions,deletions,files_changed
2026-06-03T11:53:17-04:00,ca46b11eb8d031837a13623f2ae3fd91bab2175e,Add adapter config for the e2e test and update matching logic,319,74,2
2026-06-04T10:01:04-04:00,ed9e40ed4672aa081f486413bc102e76e21f94b9,Add e2e tests,263,0,6
2026-06-11T14:46:40-04:00,609e02bb671ea770bede0f5afa54ee8cd1f71855,Fix stale prioritized-example repair test to match no-regeneration contract,48,34,1
2026-06-11T14:46:40-04:00,59fbdc2d12155895e11078ce51fdc78c3989bc6b,Add repo refactor plan and journal entry,355,0,2
2026-06-11T14:48:36-04:00,f3953650f7e364f1a553222a804c314135bd0e4d,Phase 0a: clean up repo root (refactor plan),18,12,5
2026-06-11T14:49:14-04:00,6f294d0323b3a11cfc47f2a672ba9deace49e5ff,Phase 0b: finish vllm_service -> infer_stack rename,2,2,3
2026-06-11T14:50:32-04:00,3507539d564748726884bb12a2c832a58dae99f3,Phase 0c: consolidate root docs,5,2,4
2026-06-11T14:53:31-04:00,4a0ae5b73a2fe0439c34a23415c1261a80250f28,Phase 1: every console script resolves to eval_audit.cli.*,71,12,9
2026-06-11T14:56:13-04:00,6d5035aad9eaeb2cb4ccb83b66e3b05b577e130f,Phase 1: retire grouped-CLI dispatchers and dead alias module,34,37,7
2026-06-11T14:57:54-04:00,4473bfc925c07e21178fa1d2498e88ff75225248,Phase 1: role docstrings for core_* modules; fix stale runbook command,46,1,6
2026-06-11T14:59:25-04:00,b3a4b2723decee26a6feee54663f5a25a7fc4667,Phase 2 prep: hoist @profile shim into infra/profiling.py,44,102,15
2026-06-11T15:11:16-04:00,7f64806b90c802519f4690cf749614f466b83cad,Phase 2: split build_reports_summary into reports/summary/ subpackage,4570,4235,12
2026-06-11T15:12:03-04:00,72bfeb3d45d6848c6a89fb0ea53648c3a3608d65,Journal: refactor plan implementation session (Phases 0-2),85,0,1
2026-06-11T15:17:28-04:00,9b7ddb74a0740320a70ca22b54807473e1b933ff,Phase 2: extract Stage 1 library logic from cli/index_historic_helm_runs,639,568,3
2026-06-11T15:18:39-04:00,ca6f5d7b8ae27a3726a0b9e9d7a94102d423b41b,Phase 2: extract diff primitives from helm/diff.py,715,668,2
2026-06-11T15:22:35-04:00,dd742728415c72de75fb28fc940377c93cdcaa18,Phase 2: split core_metrics into curves / plots / tables modules,2165,2003,5
