claim_id,claim,status,verification_scope,principal_evidence,required_language,required_action
PAPER-001,EEE and the follow-on are distinct paper lines,established,packaged-source,EEE sources predate internship; TMLR skeleton existed May 14,"EEE detects; follow-on attributes, closes when possible, and bounds identifiability",Keep inherited work attribution explicit
THESIS-001,Benchmark reproduction is a layered system-identification problem,established,synthesis-supported,"Exact-spec, deployment, era, and artifact investigations",Use as core thesis,None
THESIS-002,Some historical measurements are non-identifiable,established-with-scope,packaged-source-history,Migrated paths and no compatible released producing harness,Say non-identifiable from the surviving evidence examined,Preserve source-history script and search scope
OLMO-001,Float32 candidates best match sampled OLMo instruct outputs,preliminary,probe-only,12-instance IFEval oracle-scored deployment sweeps,Do not call an end-to-end reproduction or proof of historical deployment,Run ordinary-path HELM confirmation with held-out data
OLMO-002,Historical OLMo dtype was most likely fp32,conditional-most-likely,source-inference,Recorded HuggingFaceClient; no dtype pin; bounded Transformers 4.x default,State assumptions and per-parameter nature,Preserve exact deployment metadata and source/version bounds
OLMO-003,Dense OLMo-2 HF divergence is real but its cause is unresolved,unresolved,probe-evidence,Prompt-token equivalence; current HF differs; vLLM fp32 ranks best,"State divergence, not a single root cause",Test both substrate axes and dense-probe artifact hypotheses
OLMO-004,OLMo base-model aggregate reports are publication-ready,false-currently,collaborator-live-store-attestation,Reported stale local-halving values remain on disk,Do not cite corrected intended values as regenerated results,Regenerate store and package manifest/hashes
STORE-001,GPT-OSS reports are fresh,collaborator-verified-report-only,live-store-attestation-not-packaged,Reported Jul 14 report regeneration after plotting fixes,Distinguish report freshness from run/comparison freshness,Preserve store and pass acceptance audit
STORE-002,GPT-OSS four-cell aggregate comparison is publication-ready,not-yet,live-store-attestation-not-packaged,Low aggregate drift reported; raw provenance absent from package,Call promising candidate result,"Preserve run specs, targets, manifests, outputs, commits, hashes; audit exact path"
STORE-003,RedPajama ran under both proxy eras,collaborator-verified-unpackaged,live-store-attestation plus journal/slides,Both-era directories and provenance reportedly present,"Call proxy-era execution, not original-instrument reproduction",Copy/hash stores and inputs
STORE-004,Qwen combined result store exists,false-currently,live-store-attestation,No Qwen store reported on /data,Treat as genuinely pending,Run and package only if core OLMo work completes
CORPUS-001,Roughly 59 percent of corpus is classic-track,internal-estimate,journal/post-archive-doc-reference,Internal planning figure; no packaged denominator script,Do not use as publication statistic yet,Regenerate from frozen manifest with numerator and denominator
SYS-001,Exact public run_spec replay is implemented,established,packaged-code-and-history,From-spec implementation and BBQ prompt-drift case,Can claim capability and demonstrated recipe correction,Package a minimal executable example
SYS-002,EvalAudit guarantees reproducible benchmark runs,unsupported,scope-warning,Several deployment and hardware variables remain unresolved,"Say supports replay, preservation, comparison, and diagnosis",Validate with fault injection and overhead measures before stronger claim
CLASSIC-001,Later v0.2.4/v0.3.0 containers are the original classic instrument,false,packaged-source-history,Original inferred source interval is unreleased; later images are proxies,Always call them declared proxy instruments,Preserve compatibility shims and provenance
GPTOSS-001,GPT-OSS drift is roughly 30x tighter than OLMo IFEval pilot,preliminary-numeric-comparison,reported-summary,Approx 4.8e-4 vs 1.0e-2 to 1.6e-2 squared error,"Say approximately 25-35x, not two orders of magnitude",Regenerate both accepted result sets before headline use
REPRO-001,"Artifact reconstruction, procedural reproduction, and claim-level robustness are distinct targets",established-framework,methodological-synthesis,Historical artifacts and rerun evidence require different success criteria,State target level for every experiment,Add target field to experiment manifest
PAPER-002,A hybrid position/systems paper is viable now,ready,synthesis-supported,"Framework, system, case evidence, and provenance recommendations exist",Keep empirical claims scoped,Complete manuscript and artifact even if OLMo confirmation fails
PAPER-003,A broad empirical paper is ready,not-ready,gap-analysis,"No frozen denominator; OLMo confirmation, fresh stores, held-out and repeatability incomplete",Do not claim population prevalence,Complete focused empirical program
QWEN-001,Qwen small-model comparison should be central now,deferred/optional,scope-decision,No completed store and limited internship time,Use only as bounded demonstration after core evidence,Defer broad grid and Fable work
