store,reported_state,evidence_class,run_artifact_freshness,comparison_freshness,report_freshness,publication_status,next_action,revision
gpt-oss-20b-from-spec,Reports regenerated Jul 14 13:47 after reporting fixes,collaborator-verified; raw store absent from package,ABSENT (pruned; 0 scenario_state/display_requests; EEE inputs also gone) [observed 2026-07-15d],not established by timestamp alone,reported fresh (analysis Jul 14 13:28; report Jul 14 13:47),candidate only,RE-RUN on the exact path then hash (copy+hash cannot recover run-artifact provenance),2026-07-27 (next_action corrected from copy+hash)
olmo-models-combined,Reported on-disk local-halving values remain,collaborator-verified; raw store absent from package,ABSENT (pruned; halved olmo-7b values baked into the surviving derived layer) [observed 2026-07-15d],stale/incorrect deduplication,stale (Jul 14 11:36),blocked,RE-RUN (a report refresh cannot un-bake an aggregate whose inputs are gone); then acceptance audit,2026-07-27 (next_action corrected from regenerate)
era-redpajama v0.2.4 full,Full/smoke directories and provenance present,collaborator-verified; raw store absent from package,PRESENT (run_spec + outputs; Jul 12 17:22) [observed 2026-07-15d],requires report preservation and review,reported refreshable,local proxy evidence,COPY+HASH; describe as declared proxy-era execution,2026-07-27 (confirmed present)
era-redpajama v0.3.0 full,Full/smoke directories and provenance present,collaborator-verified; raw store absent from package,PRESENT (run_spec + outputs; Jul 12 17:38) [observed 2026-07-15d],requires report preservation and review,reported refreshable,local proxy evidence,COPY+HASH; describe as declared proxy-era execution,2026-07-27 (confirmed present)
OLMo deployment-match sweeps,IFEval-only sweeps for four instruct models,collaborator-verified; sweep store absent from package,PRESENT (46 sweep JSON; Jul 7-8; incl. olmoe-hf-fp32) [observed 2026-07-15d],oracle-scored discovery,reported table,preliminary; superseded as evidence by the fp32 confirm,COPY+HASH manifests; retain as the discovery record behind Chapter (Closing the Substrate Question),2026-07-27
olmo-2-{7b13b}-instruct-ifeval-fp32 (e2e confirm),"Completed 2026-07-22; 1082 per-instance rows per side per model; official 0.6929/0.7298 vs local 0.7597/0.8121",journal-reported; artifacts on GPU host + workstation mirror,PRESENT but NOT PACKAGED (produced 2026-07-22),fresh (pair comparison run; denominators verified equal),fresh,headline candidate; unpreserved,COPY+HASH urgently; this is the ordinary-path confirm the consensus demanded,2026-07-27 (new)
olmo-2-{7b13b} HF-fp32 config + attribution probes,"32/32 byte-exact vs official on all four forward-pass cells; greedy vs helm-decode byte-identical",journal-reported; probe outputs on GPU host + workstation mirror,PRESENT but NOT PACKAGED (produced 2026-07-23),n/a (completion-level scoring against official completions),ranking.txt per probe,headline candidate; unpreserved,COPY+HASH; optionally upgrade 32/32 to a full-n (541) confirm before publication,2026-07-27 (new)
open-judge rejudge artifacts (gpt-oss-20b),"63 healthy artifacts, zero request_error; 6 benchmarks x up to 6 judge arms x 3 replicates; v1 full run 12/12 attempts in ~20.3h",journal-reported; artifacts on aiq-gpu,PRESENT but NOT PACKAGED,fresh per arm,"aggregate reports STALE (Jul 19, pre-sweep) - rerun per benchmark",preliminary (single candidate; contamination caveat),Rerun the per-benchmark analyses; COPY+HASH snapshots and attempts; fix WildBench+qwen35 14.2% truncation before publishing that arm,2026-07-27 (new)
open-judge response snapshots + identity-replay outputs,Six benchmarks reproduce published judge metrics (max err 0 to 1.95e-14),journal-reported; content-addressed snapshots on aiq-gpu,PRESENT but NOT PACKAGED,n/a,n/a,established (artifact reconstruction),COPY+HASH - these are the cheapest and most citable artifacts in the set,2026-07-27 (new)
qwen35-9b-base (compute),"Smoke passed (mmlu:anatomy 1.0; boolq 0.0 -> 0.8 under declared nlstrip substitution); corrected 72-entry core grid authored, not run",journal-reported; artifacts on yardrat,SMOKE ONLY,none (local-only; no official side exists),none,pending,Run the core grid; produce the local-only report beside the reproduced Qwen1.5/2/2.5 numbers,2026-07-27 (new)
qwen combined (reproduction),No store reported,collaborator-verified absence,ABSENT,absent,absent,pending,Run only after core work if time permits,2026-07-15c (unchanged)
marin-8b-instruct deployment-match sweep,"Completed but INVALID: protocol_resolved=false; all 32 cells probed raw-completions prompts against a chat official",journal-reported,PRESENT but the test is void,n/a,n/a,void - registered prediction UNTESTED not falsified,Rerun with the protocol forced to chat; make the resolver hard-fail on unresolved protocol for instruct models,2026-07-27 (new)
