claim_id,claim,status,verification_scope,principal_evidence,required_language,required_action,revision
PAPER-001,EEE and the follow-on are distinct paper lines,established,packaged-source,EEE sources predate internship; TMLR skeleton existed May 14,"EEE detects; follow-on attributes, closes when possible, and bounds identifiability",Keep inherited work attribution explicit; EEE boundary memo still owed,2026-07-15c
THESIS-001,Benchmark reproduction is a layered system-identification problem,established,synthesis-supported,"Exact-spec, deployment, era, and artifact investigations; the three-layer substrate decomposition of 2026-07-23 is the sharpest instance",Use as core thesis,None,2026-07-27 (strengthened)
THESIS-002,Some historical measurements are non-identifiable,established-with-scope,packaged-source-history,Migrated paths and no compatible released producing harness,Say non-identifiable from the surviving evidence examined,Preserve source-history script and search scope,2026-07-15c
OLMO-001,Float32 candidates best match sampled OLMo instruct outputs,established-for-one-cell,ordinary-path-run-plus-byte-exact-probe,"Full-n from-spec replay (1082 rows per side per model) plus HF-fp32 probe 32/32 byte-exact on 7B and 13B","Say confirmed for OLMo-2 instruct ifeval; state the scope (one benchmark, one family, two sizes, instruct only)",Generalize across families and benchmarks; preserve and hash the artifacts,2026-07-27 (upgraded from preliminary)
OLMO-002,Historical OLMo dtype was most likely fp32,established-for-olmo2-instruct,source-inference-corroborated-observationally,Recorded HuggingFaceClient with no dtype pin; bounded Transformers 4.x default; byte-exact reproduction at fp32,"Say the deductive argument is corroborated observationally for OLMo-2 instruct; keep it conditional elsewhere",Preserve deployment metadata and source/version bounds,2026-07-27 (upgraded from conditional-most-likely)
OLMO-003,Dense OLMo-2 HF divergence is real but its cause is unresolved,resolved-as-probe-artifact,probe-evidence,"With template rendering and device placement pinned, all four HF forward-pass cells reproduce the official byte-exactly on 96GB cards",Withdraw the current-HF-vs-historical-HF divergence framing; do not cite it as evidence of execution-stack sensitivity,None; the execution-stack claim is now carried by ENGINE-001,2026-07-27 (withdrawn)
OLMO-004,OLMo base-model aggregate reports are publication-ready,false-currently,collaborator-live-store-attestation-plus-disk-audit,"Stale local-halving values baked into the surviving derived layer; pre-aggregation inputs pruned (2026-07-15d audit)",Do not cite corrected intended values as regenerated results,RE-RUN (a report refresh cannot un-bake the aggregate); then package manifest/hashes,2026-07-27 (next_action corrected)
ENGINE-001,The inference engine moves a published metric at fixed weights/precision/prompt/decode,established-for-one-cell,ordinary-path-run-plus-attribution-probe,"vLLM fp32 leaves +0.067 (7B) / +0.082 (13B) on ifeval_strict_accuracy; HF fp32 is byte-exact; HF greedy vs HF helm-decode are byte-identical, excluding decode semantics","Say the residual is pure engine numerics for this cell; say characterized, not explained",Test on other families/benchmarks; record engine+version in the provenance block,2026-07-27 (new)
ENGINE-002,A nominally identical recipe does not fix decode behavior across engines,established,source-and-observation,"temperature=0.0 is true greedy on vLLM and do_sample=True/temp=1e-7 on HELM's HF client; measured to be a non-factor for OLMo-2 ifeval",State as an engine-dependent reading of the recipe; do not claim it changes results in general,Record decode semantics per engine in the provenance block,2026-07-27 (new)
JUDGE-001,Reconstructed response snapshots reproduce published judge metrics,established,real-public-data-identity-replay,"Six of six benchmarks; max error 0 (xstest, simple_safety_tests, harm_bench, anthropic_red_team, omni_math) to 1.95e-14 (wildbench)",Call it artifact reconstruction at machine precision,Preserve the snapshots and the gate outputs,2026-07-27 (new)
